id,hum,tem,son
1,45.00,25.00,55.67
2,45.00,25.00,55.50
3,45.00,25.00,56.00
4,45.00,25.00,56.25
5,45.00,25.00,55.50
6,45.00,25.00,55.75
7,45.00,25.00,55.50
8,45.00,25.00,53.25
9,45.00,25.00,57.00
10,45.00,25.00,52.00
11,45.00,25.75,57.25
12,45.00,26.00,54.75
13,45.75,26.00,53.50
14,46.00,26.00,57.75
15,46.00,26.00,62.00
16,46.00,26.00,56.50
17,46.75,26.00,46.75
18,47.00,26.00,54.50
19,47.00,26.75,57.75
20,47.00,27.00,50.50
21,47.00,27.00,44.25
22,47.00,27.00,54.75
23,48.33,27.00,60.33
24,49.00,27.00,54.50
25,50.00,27.50,50.50
26,51.00,28.00,49.25
27,52.00,28.00,45.00
28,53.00,28.00,51.25
29,53.50,28.00,50.25
30,54.00,28.00,48.00
31,54.50,28.00,49.25
32,55.00,28.00,52.00
33,55.50,28.00,45.50
34,56.00,28.00,45.50
35,55.50,28.50,50.50
36,55.00,29.00,49.75
37,55.50,29.00,51.25
38,56.00,29.00,51.50
39,56.33,29.00,53.00
40,57.00,29.00,49.50
41,57.00,29.00,50.75
42,57.00,29.00,50.75
43,57.25,29.00,49.50
44,58.00,29.00,49.25
45,58.00,29.00,49.50
46,58.00,29.00,49.75
47,57.75,29.25,50.00
48,57.00,30.00,50.00
49,56.75,30.00,50.00
50,56.00,30.00,50.00
51,56.00,30.00,50.25
52,56.00,30.00,50.25
53,56.00,30.00,51.00
54,55.00,30.00,51.00
55,55.00,30.00,51.00
56,54.00,30.00,51.25
57,54.00,30.00,50.25
58,53.00,29.00,51.75
59,53.00,29.00,51.25
60,53.00,29.00,50.25
61,53.00,29.00,46.25
62,53.00,29.00,57.75
63,53.00,29.00,53.25
64,53.00,29.00,57.00
65,53.00,29.00,51.00
66,53.00,29.00,52.50
67,53.00,29.00,52.25
68,54.00,30.00,51.33
69,54.00,30.00,50.25
70,53.25,29.25,50.25
71,53.00,29.00,50.25
72,51.50,29.00,50.00
73,51.00,29.00,50.50
74,50.25,29.00,51.00
75,50.00,29.00,51.00
76,48.50,29.00,51.00
77,48.00,29.00,47.75
78,47.25,29.00,48.75
79,47.00,29.00,59.75
80,47.00,29.00,51.00
81,47.00,29.00,36.00
82,47.00,29.00,51.25
83,47.00,29.00,63.25
84,47.67,29.00,39.00
85,48.00,29.00,49.75
86,48.50,29.00,48.75
87,49.00,29.00,51.75
88,50.00,29.00,44.00
89,51.00,29.00,51.00
90,51.50,29.00,48.00
91,52.00,29.00,64.25
92,52.50,29.00,46.00
93,53.00,29.00,51.25
94,53.00,29.50,53.00
95,53.00,30.00,53.75
96,53.50,30.00,66.00
97,54.00,30.00,47.75
98,54.00,30.00,53.33
99,54.00,30.00,49.75
100,54.25,30.00,49.25
101,55.00,30.00,49.00
102,54.75,30.25,49.50
103,54.00,31.00,49.00
104,53.75,30.75,49.00
105,53.00,30.00,49.00
106,52.75,30.00,49.50
107,52.00,30.00,49.50
108,51.75,30.00,50.00
109,51.00,30.00,50.00
110,50.50,30.00,50.00
111,49.00,30.00,50.00
112,48.50,30.00,50.00
113,47.00,30.00,50.00
114,47.00,30.00,50.00
115,46.00,30.00,50.25
116,46.00,30.00,50.50
117,46.00,30.00,51.00
118,46.00,30.00,51.00